Nom du compte,Type de compte,Classification du compte,Numéro de compte,Symbole,Bourse,MIC,Nom,Type,Quantité,Direction de position,Prix du marché,Devise du prix,Valeur comptable (CAD),Devise de la valeur comptable (CAD),Valeur comptable (Marché),Devise de la valeur comptable (Marché),Valeur marchande,Devise de la valeur marchande,Rendements non réalisés du marché,Devise des rendements non réalisés du marché
"Broker","Non-enregistré","Trade","HQ9PYNH06CAD","GLDM","NYSE","XNYS","SPDR Gold MiniShares Trust","EXCHANGE_TRADED_FUND","28","LONG","93.5","USD","3794.07","CAD","2729.99652460729142","USD","2618","USD","-111.99652460729142","USD"
"Broker","Non-enregistré","Trade","HQ9PYNH06CAD","SLV","NYSE","XNYS","iShares Silver Trust - iShares","EXCHANGE_TRADED_FUND","0.9192","LONG","68.5261","USD","127.63","CAD","91.42366772013169","USD","62.98919112","USD","-28.43447660013169","USD"
"Broker","Non-enregistré","Trade","HQ9PYNH06CAD","VOO","NYSE","XNYS","Vanguard S&P 500 ETF","EXCHANGE_TRADED_FUND","17.0441","LONG","656.47","USD","15059.85","CAD","10684.64376440702353","USD","11188.940327","USD","504.29656259297647","USD"
"Broker","Non-enregistré","Trade","HQ9PYNH06CAD","XAU","TSX","XTSE","GoldMoney Inc.","EQUITY","70","LONG","16.04","CAD","756","CAD","756","CAD","1122.8","CAD","366.8","CAD"
"Broker","Non-enregistré","Trade","HQ9PYNH06CAD","XHY","TSX","XTSE","BlackRock Asset Management Canada Limited - iShares U.S. High Yield Bond Index ETF Cad-hedged","EXCHANGE_TRADED_FUND","10.0507","LONG","16.55","CAD","167.63","CAD","167.63","CAD","166.339085","CAD","-1.290915","CAD"
"CELI","CELI","Trade","WZ0B1KGK8CAD","ACWV","BATS","BATS","iShares Inc. - MSCI Global Min Vol","EXCHANGE_TRADED_FUND","16.2618","LONG","120.15","USD","2713.7","CAD","1978.07364699465318","USD","1953.85527","USD","-24.21837699465318","USD"
"CELI","CELI","Trade","WZ0B1KGK8CAD","EEMV","BATS","BATS","iShares Inc. - MSCI Emerging Markets Min Vol Factor ETF","EXCHANGE_TRADED_FUND","15.0444","LONG","70.15","USD","1367.57","CAD","996.93300740435417","USD","1055.36466","USD","58.43165259564583","USD"
"CELI","CELI","Trade","WZ0B1KGK8CAD","GLDM","NYSE","XNYS","SPDR Gold MiniShares Trust","EXCHANGE_TRADED_FUND","13.5043","LONG","93.5","USD","1865.02","CAD","1363.29597226109825","USD","1262.65205","USD","-100.64392226109825","USD"
"CELI","CELI","Trade","WZ0B1KGK8CAD","IEFA","BATS","BATS","iShares Core MSCI EAFE ETF","EXCHANGE_TRADED_FUND","23.4376","LONG","94.83","USD","3001.191918516674009232478403","CAD","2187.872516479947101435248147","USD","2222.587608","USD","34.715091520052898564751853","USD"
"CELI","CELI","Trade","WZ0B1KGK8CAD","QBB","TSX","XTSE","MacKenzie Financial Corp. - Canadian Aggregate Bond Index ETF","EXCHANGE_TRADED_FUND","17.3345","LONG","93.32","CAD","1624.32","CAD","1624.32","CAD","1617.65554","CAD","-6.66446","CAD"
"CELI","CELI","Trade","WZ0B1KGK8CAD","QCN","TSX","XTSE","MacKenzie Financial Corp. - Canadian Equity Index ETF","EXCHANGE_TRADED_FUND","27.7898","LONG","207.32","CAD","5628.87","CAD","5628.87","CAD","5761.381336","CAD","132.511336","CAD"
"CELI","CELI","Trade","WZ0B1KGK8CAD","VBU","CBOE CANADA","NEOE","Vanguard Investments Canada Inc. - U.S. Agg Bond Index ETF CAD","EXCHANGE_TRADED_FUND","37.4293","LONG","21.39","CAD","811.21","CAD","811.21","CAD","800.612727","CAD","-10.597273","CAD"
"CELI","CELI","Trade","WZ0B1KGK8CAD","VOO","NYSE","XNYS","Vanguard S&P 500 ETF","EXCHANGE_TRADED_FUND","9.2298","LONG","656.47","USD","7965.88","CAD","5806.90787805467927","USD","6059.086806","USD","252.17892794532073","USD"
"CELI","CELI","Trade","WZ0B1KGK8CAD","XCB","TSX","XTSE","BlackRock Asset Management Canada Limited - iShares Core Canadian Corporate Bond Index ETF","EXCHANGE_TRADED_FUND","93.6006","LONG","20.22","CAD","1896.35","CAD","1896.35","CAD","1892.604132","CAD","-3.745868","CAD"
"CELI","CELI","Trade","WZ0B1KGK8CAD","XHY","TSX","XTSE","BlackRock Asset Management Canada Limited - iShares U.S. High Yield Bond Index ETF Cad-hedged","EXCHANGE_TRADED_FUND","16.3602","LONG","16.55","CAD","271.39","CAD","271.39","CAD","270.76131","CAD","-0.62869","CAD"
"CELIAPP","CELIAPP","Trade","WZ0B8QB64CAD","ACWV","BATS","BATS","iShares Inc. - MSCI Global Min Vol","EXCHANGE_TRADED_FUND","6.9686","LONG","120.15","USD","1164.46","CAD","835.57347756110521","USD","837.27729","USD","1.70381243889479","USD"
